FEEDBACK_COMB_FILTER_TOPOLOGY_1_ORDER_7;[1,0,0,0,0,0,0,0];[1,0,0,0,0,0,0,0.95];[0]
FEEDBACK_COMB_FILTER_TOPOLOGY_1_ORDER_48;[1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0];[1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5];[0]
FEEDBACK_COMB_FILTER_TOPOLOGY_2_ORDER_4;[0,0,0,0,1];[1,0,0,0,-0.8];[0]
FEEDBACK_COMB_FILTER_TOPOLOGY_2_ORDER_11;[0,0,0,0,0,0,0,0,0,0,0,1];[1,0,0,0,0,0,0,0,0,0,0,-0.4];[0]
LOWPASS_33_TAPS;[0.004589972864584899,0.01708179771754989,0.00848286227206236,-0.009028258250168864,-0.01389446208229176,0.0073837949077052226,0.022131649890471866,-0.0010160148859200805,-0.031773595013386044,-0.012213811683435565,0.041277579305986495,0.036864746197326374,-0.04931502207050167,-0.08869657166183915,0.05468201162918769,0.3122669399250181,0.44342883486942547,0.3122669399250181,0.05468201162918769,-0.08869657166183915,-0.04931502207050167,0.036864746197326374,0.041277579305986495,-0.012213811683435565,-0.031773595013386044,-0.0010160148859200805,0.022131649890471866,0.0073837949077052226,-0.01389446208229176,-0.009028258250168864,0.00848286227206236,0.01708179771754989,0.004589972864584899];[1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0];[0]
ALL_PASS_FILTER_4;[0.9,0,0,0,1];[1,0,0,0,0.9];[0]
BIQUAD_PEAK_7753_HZ;[0.5880425373873703, -0.6064616185082496, 0.5611372395451114];[1.0, -0.6064616185082496, 0.14917977693248174]
BIQUAD_PEAK_440_HZ;[1.1915725079032264, -1.94834123353258, 0.7600047986955951];[1.0, -1.94834123353258, 0.9515773065988214]
BIQUAD_LOWSHELF_3293_HZ;[2.7665090281430214,0.3004258865172212,0.48042726993090823];[1.0,-1.4026436896665515,0.5438667218901572]
F0001;[0.7053494370808755, 0.7053494370808755];[1.0, 0.4106988741617509];[0.7480877867800325]
F0002;[0.15243991355091657, 0.15243991355091657];[1.0, -0.6951201728981669];[0.11328952159852845]
F0003;[0.3898539884286578, 0.3898539884286578];[1.0, -0.22029202314268437];[0.36196247984178387]
F0004;[0.41582681201169874, 0.41582681201169874];[1.0, -0.16834637597660254];[0.3938229356438526]
F0005;[0.4755292808567463, 0.4755292808567463];[1.0, -0.048941438286507336];[0.4688677534954456]
F0006;[0.26612999371374013, 0.5322599874274803, 0.26612999371374013];[1.0, -0.10916014539738031, 0.17368012025234078];[0.4703521908939601]
F0007;[0.20197922358345213, 0.40395844716690427, 0.20197922358345213];[1.0, -0.39078167976417116, 0.19869857409797953];[0.3942973819300778]
F0008;[0.5009240385493421, 1.0018480770986842, 0.5009240385493421];[1.0, 0.7349645587029666, 0.2687315954944023];[0.6966704317794934]
F0009;[0.8458736907764994, 1.6917473815529989, 0.8458736907764994];[1.0, 1.6678496874118243, 0.7156450756941731];[0.9246891026893627]
F0010;[0.7308000210119655, 1.461600042023931, 0.7308000210119655];[1.0, 1.3877686445225197, 0.5354314395253419];[0.8592562835077189]
F0011;[0.014520656893349788, 0.04356197068004936, 0.04356197068004936, 0.014520656893349788];[1.0, -1.8603180443383867, 1.286690868124275, -0.31020756863909005];[0.1834928030809767]
F0012;[0.6311614532133145, 1.8934843596399435, 1.8934843596399435, 0.6311614532133145];[1.0, 2.094785199086126, 1.5562038911170277, 0.39830253550336153];[0.8548236560987821]
F0013;[0.0023775451846849184, 0.007132635554054755, 0.007132635554054755, 0.0023775451846849184];[1.0, -2.4174499054302654, 1.9926656480834173, -0.5561953811756724];[0.09302744034609878]
F0014;[0.7920981508122317, 2.376294452436695, 2.376294452436695, 0.7920981508122317];[1.0, 2.5359265735437173, 2.1734407451675315, 0.6274178877866052];[0.9259802272364381]
F0015;[0.6320740969265601, 1.8962222907796804, 1.8962222907796804, 0.6320740969265601];[1.0, 2.0975379443375464, 1.5595984055896315, 0.3994564254853033];[0.8552712629431943]
F0016;[0.00036874239891439503, 0.0014749695956575801, 0.00221245439348637, 0.0014749695956575801, 0.00036874239891439503];[1.0, -3.20744764696662, 3.92155655121561, -2.1586210551255993, 0.4504120292592394];[0.09671644877522756]
F0017;[0.012783230271752126, 0.0511329210870085, 0.07669938163051275, 0.0511329210870085, 0.012783230271752126];[1.0, -1.827833702541779, 1.560653807904147, -0.6309345785623093, 0.10264615754797521];[0.26761877250554755]
F0018;[0.46812179433209944, 1.8724871773283978, 2.8087307659925966, 1.8724871773283978, 0.46812179433209944];[1.0, 2.515287991929715, 2.553729580484779, 1.2017809551989944, 0.21915018170009973];[0.8180769254664989]
